47169;34.68;125.45
47185;33.28;126.17
47401;45.42;141.68
47412;43.05;141.33
47418;42.98;144.38
47580;40.7;141.38
47582;39.72;140.1
47600;37.38;136.9
47646;36.05;140.13
47678;33.12;139.78
47681;34.75;137.7
47741;35.45;133.01
47778;33.45;135.77
47807;33.58;130.38
47827;31.63;130.6
47909;28.38;129.55
47918;24.33;124.17
47945;25.83;131.23
47971;27.08;142.18
47991;24.3;153.97
48327;18.78;98.98
48453;13.67;100.62
48601;5.3;100.27
48615;6.17;102.28
48650;2.73;101.7
48698;1.37;103.98
48811;21.4;103.02
48820;21.02;105.8
48845;18.67;105.68
48855;16.03;108.2
48900;10.82;106.67
50527;49.22;119.75
50557;49.17;125.22
50774;47.72;128.9
50953;45.68;126.62
51076;47.73;88.08
51431;43.95;81.33
51463;43.9;87.47
51644;41.72;82.95
51709;39.47;75.98
51777;39.03;88.17
51828;37.13;79.93
51839;37.07;82.72
52203;42.82;93.52
52267;41.98;101.07
52323;41.63;97.03
52418;40.15;94.68
52533;39.77;98.48
52681;38.72;103.1
52818;36.42;94.9
52836;36.33;98.1
52866;36.72;101.77
52983;35.87;104.15
53068;43.65;112
53463;40.82;111.68
53513;40.77;107.4
53614;38.48;106.22
53772;37.78;112.55
53845;36.6;109.5
53915;35.55;106.67
54102;43.95;116.12
54135;43.6;122.27
54161;43.9;125.22
54218;42.27;118.97
54292;42.87;129.5
54342;41.82;123.55
54374;41.8;126.88
54511;39.8;116.28
54662;38.9;121.63
54727;36.7;117.55
54857;36.07;120.33
55299;31.48;92.05
55591;29.7;91.13
56029;33.02;97.02
56080;34.97;102.9
56137;31.15;97.17
56146;31.63;99.98
56187;30.7;103.83
56571;27.88;102.3
56691;26.87;104.28
56739;25.03;98.48
56778;25.02;102.68
56964;22.95;100.98
56985;23.38;103.38
57083;34.72;113.65
57127;33.07;107.03
57131;34.43;108.97
57178;33.03;112.58
57447;30.27;109.48
57461;30.7;111.28
57494;30.62;114.13
57516;29.52;106.48
57679;28.2;112.97
57749;27.57;110
57816;26.48;106.65
57957;25.33;110.3
57972;25.82;113.02
57993;25.87;115
58027;34.28;117.17
58150;33.77;120.25
58203;32.9;115.8
58238;31.93;118.9
58362;31.4;121.47
58424;30.52;117.03
58457;30.23;120.17
58606;28.67;115.92
58633;28.97;118.87
58665;28.62;121.42
58725;27.33;117.47
58847;26.08;119.28
59134;24.45;118.07
59211;23.9;106.6
59265;23.48;111.3
59280;23.7;113.08
59316;23.35;116.68
59431;22.63;108.22
59758;20;110.25
59981;16.83;112.33
60018;28.32;343.62
60155;33.57;352.33
60390;36.72;3.25
60571;31.62;357.77
61052;13.48;2.17
61291;12.53;352.05
61641;14.73;342.5
61995;-20.3;57.5
62053;32.1;20.27
62306;31.33;27.22
62337;31.08;33.83
62378;29.87;31.33
62414;23.97;32.78
62423;27.05;27.98
63741;-1.3;36.75
64650;4.4;18.52
65578;5.25;356.07
67083;-18.8;47.48
67774;-17.83;31.02
68263;-25.92;28.22
68424;-28.42;21.27
68442;-29.1;26.3
68592;-29.61;31.12
68816;-33.97;18.6
68842;-33.98;26.62
68906;-40.35;350.12
68994;-46.88;37.87
69119;33.77;42.42
70026;71.29;203.21
70133;66.89;197.39
70200;64.51;194.57
70219;60.79;198.16
70231;62.96;204.4
70261;64.82;212.12
70273;61.16;210.01
70308;57.16;189.78
70316;55.2;197.28
70326;58.68;203.33
70350;57.74;207.51
70361;59.51;220.33
70398;55.05;228.41
71043;65.28;233.25
71081;68.78;278.75
71082;82.5;297.67
71109;50.68;232.63
71119;53.55;245.9
71203;49.95;240.6
71600;43.93;299.98
